"","hhid","femalehead","enumerator","date","hh_type","grow_maize","hh_yes","recipient","consent","maizeeduc","maizeage","maizehh_no","maizedist_shop","maizearea_cultivation","maizebags_harv","maizepralready_plant","maizeprinfo_receiv","maizeprinfo_receiv_spouse","maizeprinput_use","maizeprwall","maizeprrooms","maizeprearn","maizevideo_shown","maizeoptimal_spacing","maizeq22","maizeq23","maizemobile","maizemobile_access","maizeq26","maizeq27","maizeivr","maizeinside_outside","maizedisturbed","maizeeduc_spouse","maizeage_spouse","vilID","subID","distID"
"1","FH1",1,13,"2017-08-17","Yes","Yes","Yes",NA,"Yes",2,65,8,0,1,1,"No","No","Yes","Yes",1,1,"No","female","c","b","b","Yes",NA,NA,"1","no","Outside","No",NA,NA,1,1,1
"2","HH1112",0,13,"2017-08-17","Yes","Yes","Yes","female","Yes",2,30,12,0,2,5,"No","No","No","No",1,3,"No","female","c","b","b","Yes",NA,NA,"1","yes","Outside","No",2,32,1,1,1
"3","HH1369",0,14,"2017-08-17","Yes","Yes","Yes","couple","Yes",2,40,12,2,3,7,"Yes","No","Yes","Yes",1,3,"No","female","a","c","b","Yes",NA,NA,"1","yes","Outside","No",2,38,1,1,1
"4","HH1626",0,14,NA,"Yes","Yes","No","male","Yes",1,80,4,2,2,1,"Yes","No","No","No",1,2,"No","couple","a","c","a","No","No",NA,NA,"no","Outside","No",1,999,1,1,1
"5","HH1883",0,13,"2017-08-17","Yes","Yes","Yes","female","Yes",1,999,6,0,0.5,2,"Yes","No","No","No",3,2,"No","couple","b","c","b","No","No",NA,NA,"no","Outside","No",2,999,1,1,1
"6","HH2140",0,14,"2017-08-17","Yes","Yes","No","couple","Yes",5,40,7,3,1.5,1.5,"Yes","No","No","Yes",3,2,"Yes","couple","a","c","b","Yes",NA,NA,"1","no","Outside","No",2,37,1,1,1
"7","HH2397",0,14,"2017-08-17","Yes","Yes","Yes","couple","Yes",2,28,5,3,1.5,4,"Yes","No","No","No",1,1,"Yes","ctrl","b","a","a","Yes",NA,NA,"1","no","Outside","No",2,25,1,1,1
"8","HH341",0,13,"2017-08-17","Yes","Yes","Yes","female","Yes",1,40,12,0,1,2,"No","No","Yes","No",1,2,"No","male","c","c","b","Yes",NA,NA,"1","yes","Outside","No",2,50,1,1,1
"9","HH598",0,14,"2017-08-17","Yes","Yes","Yes","couple","Yes",3,31,6,3,2,0.5,"Yes","No","No","No",1,1,"No","male","a","c","b","Yes",NA,NA,"1","no","Outside","No",2,26,1,1,1
"10","HH84",0,13,"2017-08-17","Yes","Yes","Yes","male","Yes",4,60,7,0,1,1,"Yes","No","Yes","Yes",1,2,"No","male","a","c","b","Yes",NA,NA,"1","yes","Outside","No",2,55,1,1,1
"11","HH855",0,14,"2017-08-17","Yes","Yes","Yes","male","Yes",4,61,6,4,1,2.5,"Yes","No","No","No",1,2,"No","female","a","c","b","Yes",NA,NA,"1","yes","Outside","No",2,46,1,1,1
"12","FH11",1,16,"2017-08-17","Yes","Yes","Yes",NA,"Yes",2,59,7,0,1.5,3,"Yes","No","No","No",1,2,"Yes","male","a","c","b","Yes",NA,NA,"1","yes","Outside","No",NA,NA,2,1,1
"13","HH1039",0,5,"2017-08-17","Yes","Yes","Yes","female","Yes",3,25,8,1,1,7,"Yes","No","Yes","Yes",1,3,"Yes","female","b","c","b","Yes",NA,NA,"1","yes","Inside","No",2,35,2,1,1
"14","HH11",0,7,"2017-08-17","Yes","Yes","No","male","Yes",5,25,3,1,1.5,2.5,"Yes","No","No","No",1,1,"Yes","male","a","c","a","Yes",NA,NA,"1","yes","Outside","No",4,21,2,1,1
"15","HH1296",0,5,"2017-08-17","Yes","Yes","No","couple","Yes",2,52,10,1,2,8,"No","No","Yes","Yes",1,3,"No","female","c","c","b","Yes",NA,NA,"1","yes","Inside","No",3,39,2,1,1
"16","HH1553",0,5,"2017-08-17","Yes","Yes","Yes","male","Yes",2,42,5,1,0.5,1,"Yes","No","Yes","Yes",3,2,"No","couple","b","c","b","Yes",NA,NA,"1","yes","Inside","No",2,21,2,1,1
"17","HH1810",0,7,"2017-08-17","Yes","Yes","No","female","Yes",2,27,6,1,4,15,"Yes","No","No","No",1,4,"Yes","couple","a","c","b","Yes",NA,NA,"1","yes","Inside","No",3,46,2,1,1
"18","HH2067",0,7,"2017-08-17","Yes","Yes","No","couple","Yes",4,37,6,1,1,10,"No","Yes","No","Yes",1,3,"Yes","couple","a","c","b","Yes",NA,NA,"1","no","Inside","No",4,37,2,1,1
"19","HH2324",0,4,"2017-08-17","Yes","Yes","No","male","Yes",1,38,3,1,2,10,"No","No","No","Yes",1,3,"No","ctrl","b","a","b","Yes",NA,NA,"1","no","Inside","No",1,25,2,1,1
"20","HH268",0,5,"2017-08-17","Yes","Yes","No","female","Yes",3,50,12,1,1,8,"Yes","No","No","Yes",1,3,"No","male","a","c","b","Yes",NA,NA,"1","yes","Inside","No",5,54,2,1,1
"21","HH525",0,9,"2017-08-17","Yes","Yes","No","couple","Yes",2,52,6,1,2,4,"Yes","No","Yes","Yes",1,3,"No","male","a","c","b","Yes",NA,NA,"1","yes","Outside","No",4,40,2,1,1
"22","HH782",0,7,"2017-08-17","Yes","Yes","Yes","male","Yes",3,57,10,1,1,4,"Yes","No","No","Yes",1,3,"No","female","a","c","b","Yes",NA,NA,"1","yes","Outside","No",4,40,2,1,1
"23","FH21",1,11,"2017-08-17","Yes","Yes","Yes",NA,"Yes",2,37,10,3,2,4,"Yes","No","No","No",3,1,"No","female","a","c","b","Yes",NA,NA,"1","yes","Outside","No",NA,NA,3,1,1
"24","HH1188",0,10,"2017-08-17","Yes","Yes","Yes","female","Yes",2,28,10,3,2,4,"Yes","No","No","Yes",1,2,"Yes","female","a","c","b","Yes",NA,NA,"1","yes","Outside","No",2,35,3,1,1
"25","HH1445",0,10,"2017-08-17","Yes","Yes","Yes","couple","Yes",2,60,10,2,2.5,4,"Yes","No","No","No",1,4,"No","female","a","c","b","Yes",NA,NA,"1","no","Outside","No",1,42,3,1,1
"26","HH160",0,10,"2017-08-17","Yes","Yes","Yes","male","Yes",1,95,3,3,0.300000011920929,0.5,"No","No","No","No",2,2,"Yes","male","b","c","b","No","No",NA,NA,"no","Outside","No",1,81,3,1,1
"27","HH1702",0,10,"2017-08-17","Yes","Yes","Yes","male","Yes",2,37,6,1,0.5,0,"No","No","Yes","Yes",1,2,"Yes","couple","a","c","b","Yes",NA,NA,"1","yes","Outside","No",3,32,3,1,1
"28","HH1959",0,10,"2017-08-17","Yes","Yes","Yes","female","Yes",2,25,5,1,1,2,"Yes","No","Yes","No",3,1,"No","couple","d","b","b","No","No",NA,NA,"no","Outside","No",2,27,3,1,1
"29","HH2216",0,10,"2017-08-17","Yes","Yes","Yes","couple","Yes",2,42,9,2,2,2,"Yes","Yes","No","Yes",1,2,"Yes","couple","a","c","b","No","No",NA,NA,"yes","Outside","No",2,40,3,1,1
"30","HH2473",0,10,"2017-08-17","Yes","Yes","Yes","female","Yes",2,38,12,3,3,5,"Yes","No","No","No",1,4,"Yes","ctrl","d","c","b","Yes",NA,NA,"1","no","Outside","No",4,46,3,1,1
"31","HH417",0,10,"2017-08-17","Yes","Yes","Yes","female","Yes",2,25,7,1,4,1,"Yes","No","No","No",1,3,"No","male","a","b","b","Yes",NA,NA,"1","yes","Outside","No",4,45,3,1,1
"32","HH674",0,10,"2017-08-17","Yes","Yes","Yes","couple","Yes",3,60,8,1,1,7,"No","No","No","No",1,3,"No","male","a","c","b","Yes",NA,NA,"1","no","Outside","No",2,49,3,1,1
"33","HH931",0,10,"2017-08-17","Yes","Yes","Yes","male","Yes",1,53,13,1,1,2,"Yes","No","No","No",3,5,"Yes","female","a","b","b","Yes",NA,NA,"1","yes","Outside","No",2,40,3,1,1
"34","FH31",1,3,"2017-08-17","Yes","Yes","Yes",NA,"Yes",1,48,7,4,1,0.5,"Yes","No","No","No",3,1,"No","male","c","c","b","Yes",NA,NA,"1","no","Outside","No",NA,NA,4,1,1
"35","HH1106",0,15,"2017-08-17","Yes","Yes","Yes","female","Yes",2,32,6,4,2,8,"Yes","No","No","No",1,4,"Yes","female","a","c","b","Yes",NA,NA,"1","no","Outside","No",2,34,4,1,1
"36","HH1363",0,1,"2017-08-17","Yes","Yes","Yes","couple","Yes",3,21,13,1,1,4,"Yes","No","No","No",1,2,"Yes","female","c","c","a","Yes",NA,NA,"1","yes","Inside","Yes",3,18,4,1,1
"37","HH1620",0,12,"2017-08-17","Yes","Yes","Yes","male","Yes",4,65,5,5,2,3,"Yes","No","No","No",3,1,"No","couple","a","c","b","Yes",NA,NA,"1","no","Outside","No",2,48,4,1,1
"38","HH1877",0,1,"2017-08-17","Yes","Yes","No","female","Yes",2,52,18,3,8,36,"Yes","No","No","Yes",1,1,"Yes","couple","b","b","b","No","No",NA,NA,"yes","Inside","No",2,63,4,1,1
"39","HH2134",0,12,"2017-08-17","Yes","Yes","No","couple","Yes",4,23,4,20,2,16,"Yes","No","Yes","No",3,1,"Yes","couple","a","c","b","Yes",NA,NA,"1","yes","Outside","No",4,23,4,1,1
"40","HH2391",0,15,"2017-08-17","Yes","Yes","Yes","male","Yes",2,27,4,2,1,2.5,"Yes","No","No","No",3,1,"No","ctrl","b","c","b","No","No",NA,NA,"no","Outside","No",2,26,4,1,1
"41","HH335",0,12,"2017-08-17","Yes","Yes","Yes","female","Yes",2,24,7,5,3,7,"Yes","No","Yes","No",3,1,"No","male","a","c","b","Yes",NA,NA,"1","yes","Outside","No",3,33,4,1,1
"42","HH592",0,3,"2017-08-17","Yes","Yes","No","couple","Yes",2,45,16,2,1,3,"Yes","Yes","No","No",1,2,"No","male","a","c","a","Yes",NA,NA,"1","yes","Outside","No",2,38,4,1,1
"43","HH78",0,1,"2017-08-17","Yes","Yes","Yes","male","Yes",2,22,6,1,3,9,"Yes","No","Yes","No",3,1,"Yes","male","a","c","b","Yes",NA,NA,"1","no","Inside","No",2,20,4,1,1
"44","HH849",0,15,"2017-08-17","Yes","Yes","No","male","Yes",2,47,7,1,2,6,"Yes","No","No","No",3,2,"No","female","a","c","b","Yes",NA,NA,"1","no","Outside","No",2,36,4,1,1
"45","FH41",1,16,"2017-08-17","Yes","Yes","Yes",NA,"Yes",2,43,5,1,1.5,13,"Yes","No","No","No",3,2,"Yes","male","b","a","b","Yes",NA,NA,"1","no","Outside","No",NA,NA,5,1,1
"46","HH1210",0,9,"2017-08-17","Yes","Yes","No","female","Yes",1,40,7,2,1.5,1.20000004768372,"Yes","No","No","No",1,7,"No","female","a","c","b","Yes",NA,NA,"1","yes","Outside","No",1,51,5,1,1
"47","HH1467",0,9,"2017-08-17","Yes","Yes","Yes","couple","Yes",1,83,6,1,3,4,"No","No","No","No",3,3,"No","female","a","c","b","No","No",NA,NA,"yes","Outside","No",1,84,5,1,1
"48","HH1724",0,7,"2017-08-17","Yes","Yes","Yes","male","Yes",4,54,7,2,3,15,"Yes","No","No","No",1,5,"Yes","couple","a","c","b","Yes",NA,NA,"1","yes","Outside","No",1,49,5,1,1
"49","HH182",0,9,"2017-08-17","Yes","Yes","Yes","male","Yes",2,41,9,2,1,3,"Yes","Yes","No","No",1,4,"No","male","a","a","b","Yes",NA,NA,"1","no","Outside","No",2,37,5,1,1
"50","HH1981",0,16,"2017-08-17","Yes","Yes","Yes","female","Yes",2,20,7,2,4,18,"Yes","No","No","No",1,2,"Yes","couple","b","c","b","Yes",NA,NA,"2","yes","Outside","No",2,25,5,1,1
"51","HH2238",0,9,"2017-08-17","Yes","Yes","Yes","couple","Yes",1,48,11,2,1,0.5,"Yes","No","No","No",3,3,"No","couple","a","c","b","Yes",NA,NA,"1","yes","Outside","No",1,42,5,1,1
"52","HH2495",0,4,"2017-08-17","Yes","Yes","No","female","Yes",1,49,8,3,1,2,"Yes","No","No","No",1,2,"No","ctrl","c","a","a","No","Yes","Yes","1","no","Outside","No",2,57,5,1,1
"53","HH439",0,5,"2017-08-17","Yes","Yes","Yes","female","Yes",1,49,7,2,0.300000011920929,2,"Yes","No","No","No",3,2,"No","male","a","c","b","Yes",NA,NA,"1","yes","Outside","No",2,30,5,1,1
