"","HHID","rec_seed_1","rec_spacing_2","rec_gapfill_3","rec_weed_first_4","rec_striga_5","rec_weed_second_6","rec_urea_7","rec_weed_third_8","totsms"
"1","HH1401",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,7
"8","HH2295",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8
"16","HH92",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
"17","HH3499",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8
"25","HH257",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,7
"32","HH2834",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8
"40","HH2728",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8
"48","FH1153",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8
"56","HH1400",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,6
"62","HH1802",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,6
"68","HH1908",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8
"76","HH1757",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8
"84","HH1141",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,6
"90","HH732",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8
"98","FH860",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8
"107","HH211",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8
"115","FH802",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,7
"122","HH2212",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8
"130","HH1412",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8
"138","HH2774",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8
"146","HH1920",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,7
"153","HH2076",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,6
"159","HH793",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,7
"166","HH98",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8
"174","HH3291",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8
"182","HH395",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8
"190","HH2235",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,6
"196","FH2990",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,7
"203","HH1409",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,7
