hhid,district,parish
2010101,BUGIRI,BUKATU
2010103,BUGIRI,BUKATU
2010104,BUGIRI,BUKATU
2010105,BUGIRI,BUKATU
2010106,BUGIRI,BUKATU
2010107,BUGIRI,BUKATU
2010108,BUGIRI,BUKATU
2010109,BUGIRI,BUKATU
2010110,BUGIRI,BUKATU
2010111,BUGIRI,BUKATU
2010201,BUGIRI,BUWUNI TB
2010202,BUGIRI,BUWUNI TB
2010203,BUGIRI,BUWUNI TB
2010204,BUGIRI,BUWUNI TB
2010205,BUGIRI,BUWUNI TB
2010206,BUGIRI,BUWUNI TB
2010207,BUGIRI,BUWUNI TB
2010208,BUGIRI,BUWUNI TB
2010209,BUGIRI,BUWUNI TB
2010210,BUGIRI,BUWUNI TB
2010211,BUGIRI,BUWUNI TB
2010212,BUGIRI,BUWUNI TB
2010213,BUGIRI,BUWUNI TB
2010214,BUGIRI,BUWUNI TB
2010301,BUGIRI,BUSOGA
2010302,BUGIRI,BUSOGA
2010304,BUGIRI,BUSOGA
2010305,BUGIRI,BUSOGA
2010306,BUGIRI,BUSOGA
2010307,BUGIRI,BUSOGA
2010308,BUGIRI,BUSOGA
2010309,BUGIRI,BUSOGA
2010310,BUGIRI,BUSOGA
2010311,BUGIRI,BUSOGA
2010312,BUGIRI,BUSOGA
2010313,BUGIRI,BUSOGA
2010314,BUGIRI,BUSOGA
2010315,BUGIRI,BUSOGA
2010501,BUGIRI,MAGOOLA
2010502,BUGIRI,MAGOOLA
2010503,BUGIRI,MAGOOLA
2010504,BUGIRI,MAGOOLA
2010505,BUGIRI,MAGOOLA
2010506,BUGIRI,MAGOOLA
2010507,BUGIRI,MAGOOLA
2010602,BUGIRI,NABIRERE
2010604,BUGIRI,NABIRERE
2010605,BUGIRI,NABIRERE
2010608,BUGIRI,NABIRERE
2010609,BUGIRI,NABIRERE
2010610,BUGIRI,NABIRERE
2010611,BUGIRI,NABIRERE
2010612,BUGIRI,NABIRERE
2010614,BUGIRI,NABIRERE
2010615,BUGIRI,NABIRERE
2010701,BUGIRI,BUGIRI A
2010702,BUGIRI,BUGIRI A
2010703,BUGIRI,BUGIRI A
2010704,BUGIRI,BUGIRI A
2010706,BUGIRI,BUGIRI A
2010707,BUGIRI,BUGIRI A
2010801,BUGIRI,BUGIRI A
2010804,BUGIRI,BUGIRI A
2010805,BUGIRI,BUGIRI A
2010806,BUGIRI,BUGIRI A
2010807,BUGIRI,BUGIRI A
2010808,BUGIRI,BUGIRI A
2010810,BUGIRI,BUGIRI A
2010811,BUGIRI,BUGIRI A
2010812,BUGIRI,BUGIRI A
2010813,BUGIRI,BUGIRI A
2010814,BUGIRI,BUGIRI A
2010901,BUGIRI,BUGUBO
2010902,BUGIRI,BUGUBO
2010903,BUGIRI,BUGUBO
2010904,BUGIRI,BUGUBO
2010906,BUGIRI,BUGUBO
2010907,BUGIRI,BUGUBO
2010908,BUGIRI,BUGUBO
2010909,BUGIRI,BUGUBO
2010910,BUGIRI,BUGUBO
2010911,BUGIRI,BUGUBO
2010912,BUGIRI,BUGUBO
2010913,BUGIRI,BUGUBO
2010915,BUGIRI,BUGUBO
2011001,BUGIRI,ISAGAZA
2011002,BUGIRI,ISAGAZA
2011003,BUGIRI,ISAGAZA
2011004,BUGIRI,ISAGAZA
2011005,BUGIRI,ISAGAZA
2011006,BUGIRI,ISAGAZA
2011007,BUGIRI,ISAGAZA
2011008,BUGIRI,ISAGAZA
2011009,BUGIRI,ISAGAZA
2011010,BUGIRI,ISAGAZA
2011011,BUGIRI,ISAGAZA
2011012,BUGIRI,ISAGAZA
2011013,BUGIRI,ISAGAZA
2011014,BUGIRI,ISAGAZA
2011015,BUGIRI,ISAGAZA
2011101,BUGIRI,KASEITAKA
2011102,BUGIRI,KASEITAKA
2011103,BUGIRI,KASEITAKA
2011104,BUGIRI,KASEITAKA
2011105,BUGIRI,KASEITAKA
2011106,BUGIRI,KASEITAKA
2011107,BUGIRI,KASEITAKA
2011108,BUGIRI,KASEITAKA
2011109,BUGIRI,KASEITAKA
2011110,BUGIRI,KASEITAKA
2011112,BUGIRI,KASEITAKA
2011201,BUGIRI,NAMAYEMBA TB
2011202,BUGIRI,NAMAYEMBA TB
2011203,BUGIRI,NAMAYEMBA TB
2011204,BUGIRI,NAMAYEMBA TB
2011206,BUGIRI,NAMAYEMBA TB
2011207,BUGIRI,NAMAYEMBA TB
2011212,BUGIRI,NAMAYEMBA TB
2011301,BUGIRI,NANKOMA
2011302,BUGIRI,NANKOMA
2011303,BUGIRI,NANKOMA
2011304,BUGIRI,NANKOMA
2011305,BUGIRI,NANKOMA
2011306,BUGIRI,NANKOMA
2011307,BUGIRI,NANKOMA
2011308,BUGIRI,NANKOMA
2011309,BUGIRI,NANKOMA
2011310,BUGIRI,NANKOMA
2011311,BUGIRI,NANKOMA
2011312,BUGIRI,NANKOMA
2121401,TORORO,MERIKIT
2121403,TORORO,MERIKIT
2121404,TORORO,MERIKIT
2121405,TORORO,MERIKIT
2121406,TORORO,MERIKIT
2121407,TORORO,MERIKIT
2121410,TORORO,MERIKIT
2121411,TORORO,MERIKIT
2121413,TORORO,MERIKIT
2121415,TORORO,MERIKIT
2121501,TORORO,KAYORO
2121503,TORORO,KAYORO
2121504,TORORO,KAYORO
2121505,TORORO,KAYORO
2121506,TORORO,KAYORO
2121507,TORORO,KAYORO
2121508,TORORO,KAYORO
2121509,TORORO,KAYORO
2121510,TORORO,KAYORO
2121511,TORORO,KAYORO
2121512,TORORO,KAYORO
2121513,TORORO,KAYORO
2121514,TORORO,KAYORO
2121515,TORORO,KAYORO
2121601,TORORO,NYALAKOT
2121602,TORORO,NYALAKOT
2121603,TORORO,NYALAKOT
2121604,TORORO,NYALAKOT
2121605,TORORO,NYALAKOT
2121606,TORORO,NYALAKOT
2121607,TORORO,NYALAKOT
2121608,TORORO,NYALAKOT
2121609,TORORO,NYALAKOT
2121610,TORORO,NYALAKOT
2121611,TORORO,NYALAKOT
2121612,TORORO,NYALAKOT
2121613,TORORO,NYALAKOT
2121614,TORORO,NYALAKOT
2121615,TORORO,NYALAKOT
2121701,TORORO,NYALAKOT
2121801,TORORO,OJILAI
2121802,TORORO,OJILAI
2121803,TORORO,OJILAI
2121804,TORORO,OJILAI
2121806,TORORO,OJILAI
2121807,TORORO,OJILAI
2121809,TORORO,OJILAI
2121810,TORORO,OJILAI
2121811,TORORO,OJILAI
2121812,TORORO,OJILAI
2121813,TORORO,OJILAI
2121814,TORORO,OJILAI
2121901,TORORO,PABONE
2121902,TORORO,PABONE
2121903,TORORO,PABONE
