"","HHID","region","yield"
"1",1020401,"Central",800
"2",36010401,"Central",72
"3",36020404,"Central",588.571428571429
"4",36030405,"Central",1166.66666666667
"5",36040404,"Central",190.666666666667
"6",36040408,"Central",49
"7",36070401,"Central",1420
"8",36080401,"Central",910
"9",37040401,"Central",560
"10",37060401,"Central",90
"11",37070401,"Central",933.333333333333
"12",37110402,"Central",400
"13",37110403,"Central",110
"14",38090401,"Central",800
"15",39020401,"Central",312.499995343387
"16",39030401,"Central",273.504270996254
"17",39060401,"Central",499.99999254942
"18",39090401,"Central",533.333333333333
"19",39090402,"Central",187.165770151211
"20",40010401,"Central",691.666666666667
"21",40020401,"Central",952.727272727273
"22",40030401,"Central",200
"23",40050401,"Central",139.999997913837
"24",40070401,"Central",96
"25",40100401,"Central",128.571428571429
"26",40110401,"Central",300
"27",42010401,"Central",200
"28",42020401,"Central",199.468091936363
"29",42030401,"Central",945.833295749295
"30",42040401,"Central",928
"31",42050401,"Central",133.333333333333
"32",42070401,"Central",336
"33",42080402,"Central",300
"34",42100401,"Central",1000
"35",45090401,"Central",320
"36",46020401,"Central",1120
"37",46030401,"Central",236
"38",46040401,"Central",1400
"39",46060401,"Central",106.666666666667
"40",46060402,"Central",2360
"41",46080401,"Central",733.333333333333
"42",46090401,"Central",2160
"43",46100401,"Central",280
"44",46100403,"Central",160
"45",48020401,"Central",560
"46",48020402,"Central",650
"47",48030402,"Central",1762.5
"48",48060401,"Central",3400
"49",48070401,"Central",200
"50",48080401,"Central",322.222230758196
"51",49030401,"Central",583.33334878639
"52",49050401,"Central",57.1428571428571
"53",49070401,"Central",900
"54",49080401,"Central",457.142857142857
"55",49090401,"Central",167.266775141039
"56",49100401,"Central",94.2760939355311
"57",49130401,"Central",2222.22218910853
"58",49130402,"Central",400
"59",49130405,"Central",140
"60",49130406,"Central",146.666664481163
"61",50020401,"Central",300
"62",50030401,"Central",80.3571428571429
"63",50040401,"Central",400
"64",50050401,"Central",333.333333333333
"65",50080401,"Central",80
"66",50090401,"Central",240
"67",50100401,"Central",672
"68",51020401,"Central",212
"69",51040401,"Central",1833.33330601454
"70",51050401,"Central",2699.99995976687
"71",51060401,"Central",113.63636194305
"72",53020401,"Central",850
"73",53040401,"Central",151.098901098901
"74",53050401,"Central",1866.66666666667
"75",53050403,"Central",880
"76",53060402,"Central",640
"77",53080401,"Central",1687.5
"78",54030401,"Central",324.999995157123
"79",54050401,"Central",366.666652096643
"80",54070401,"Central",229.166665148956
"81",54090401,"Central",208.333332815932
"82",54100401,"Central",111.111111111111
"83",54120402,"Central",123.076921948314
"84",57010401,"Central",382.638873684186
"85",57020401,"Central",116.666666666667
"86",57040401,"Central",400
"87",57050401,"Central",349.999994784594
"88",57070401,"Central",600
"89",57090401,"Central",183.33333287802
"90",57100401,"Central",360
"91",57110401,"Central",370.370355653175
"92",59010401,"Central",960
"93",60050401,"Central",253.333333333333
"94",60090401,"Central",269.625668449198
"95",60100401,"Central",96
"96",61010401,"Central",914.285714285714
"97",61030401,"Central",600
"98",61040401,"Central",200
"99",61070401,"Central",450
"100",61080401,"Central",1600
"101",62080401,"Central",230.769230769231
"102",63010401,"Central",392
"103",63020401,"Central",279.999995827675
"104",63070401,"Central",88.888888300201
"105",63100401,"Central",1150
"106",64010401,"Central",833.333300219643
"107",64040401,"Central",175
"108",64050401,"Central",80
"109",64090401,"Central",744.000000357628
"110",64110401,"Central",105
"111",66020401,"Central",351.851837870516
"112",66040401,"Central",599.999991059303
"113",66070401,"Central",945
"114",66080401,"Central",253.5
"115",67020401,"Central",590.909090909091
"116",67030401,"Central",99.0476190476191
"117",67060401,"Central",990
