"","hhid","PID","PLID","area","kgs","crop","season","prod"
"1",4043701,1,1,0.0599999986588955,100,"pot","sec13",4000.00008940697
"2",4043702,12,1,1,550,"pot","sec13",1320
"3",4043702,13,1,1,330,"pot","sec13",792
"4",4043702,14,1,0.5,210,"pot","sec13",1008
"5",4043702,15,1,0.5,105,"pot","sec13",504
"6",4043703,6,1,0.200000002980232,360,"pot","sec13",4319.99993562698
"7",4043704,8,1,0.25,1100,"pot","sec13",10560
"8",4043706,5,1,0.129999995231628,350,"pot","sec13",6461.53869854629
"9",4043707,5,1,0.150000005960464,130,"pot","sec13",2079.99991734823
"10",4043707,6,1,0.150000005960464,130,"pot","sec13",2079.99991734823
"11",4043710,3,1,0.25,600,"pot","sec13",5760
"12",4043710,9,1,0.5,1400,"pot","sec13",6720
"13",4043711,5,1,1,1300,"pot","sec13",3120
"14",4043713,10,1,1,4200,"pot","sec13",10080
"15",4043713,9,1,0.5,200,"pot","sec13",960
"16",4043714,3,3,0.25,380,"pot","sec13",3648
"17",4043714,6,1,0.100000001490116,240,"pot","sec13",5759.99991416931
"18",4043714,9,1,0.5,746,"pot","sec13",3580.8
"19",4043715,2,3,0.25,120,"pot","sec13",1152
"20",4043802,5,1,1,650,"pot","sec13",1560
"21",4043804,9,1,0.5,200,"pot","sec13",960
"22",4043806,2,2,0.400000005960464,960,"pot","sec13",5759.99991416931
"23",4043807,5,1,0.75,1200,"pot","sec13",3840
"24",4043808,10,1,0.25,1000,"pot","sec13",9600
"25",4043809,2,1,1,26,"pot","sec13",62.4
"26",4043810,5,1,2,880,"pot","sec13",1056
"27",4043811,1,1,0.25,1201,"pot","sec13",11529.6
"28",4043811,2,1,0.400000005960464,601,"pot","sec13",3605.99994626641
"29",4043812,6,1,0.5,1150,"pot","sec13",5520
"30",4043813,5,1,0.119999997317791,600,"pot","sec13",12000.0002682209
"31",4043816,6,1,0.119999997317791,7,"pot","sec13",140.000003129244
"32",4043901,5,1,0.25,52,"pot","sec13",499.2
"33",4043902,8,1,0.5,1140,"pot","sec13",5472
"34",4043903,3,2,0.25,300,"pot","sec13",2880
"35",4043904,7,1,0.5,780,"pot","sec13",3744
"36",4043904,8,1,0.75,1820,"pot","sec13",5824
"37",4043905,6,1,0.129999995231628,100,"pot","sec13",1846.15391387037
"38",4043907,9,1,0.25,800,"pot","sec13",7680
"39",4043908,8,1,0.25,1000,"pot","sec13",9600
"40",4043909,3,1,0.25,80,"pot","sec13",768
"41",4043910,10,1,0.25,200,"pot","sec13",1920
"42",4043912,2,1,1,1500,"pot","sec13",3600
"43",4043912,3,1,1,2200,"pot","sec13",5280
"44",4043913,1,1,2,780,"pot","sec13",936
"45",4043914,10,1,1,6700,"pot","sec13",16080
"46",4043914,1,1,1,1200,"pot","sec13",2880
"47",4043914,2,1,0.5,800,"pot","sec13",3840
"48",4043914,30,1,0.75,840,"pot","sec13",2688
"49",4043914,8,1,1,570,"pot","sec13",1368
"50",4043915,3,1,0.25,600,"pot","sec13",5760
"51",4044002,5,1,0.5,220,"pot","sec13",1056
"52",4044003,17,1,0.75,1680,"pot","sec13",5376
"53",4044004,2,1,0.00999999977648258,150,"pot","sec13",36000.0008046627
"54",4044005,2,1,0.25,1340,"pot","sec13",12864
"55",4044010,1,4,0.0299999993294477,340,"pot","sec13",27200.0006079674
"56",4044011,2,1,1,800,"pot","sec13",1920
"57",4044011,3,1,1,976,"pot","sec13",2342.4
"58",4044011,4,1,1.5,280,"pot","sec13",448
"59",4044012,1,1,0.5,540,"pot","sec13",2592
"60",4044013,1,1,0.25,1560,"pot","sec13",14976
"61",4044013,2,1,1,1080,"pot","sec13",2592
"62",4044014,6,1,0.5,280,"pot","sec13",1344
"63",4044015,2,1,0.129999995231628,300,"pot","sec13",5538.4617416111
"64",4044044,8,1,0.25,120,"pot","sec13",1152
"65",4044101,1,1,0.25,420,"pot","sec13",4032
"66",4044101,3,1,0.5,1120,"pot","sec13",5376
"67",4044101,4,1,0.25,140,"pot","sec13",1344
"68",4044102,1,1,1.5,3240,"pot","sec13",5184
"69",4044103,4,1,0.5,6,"pot","sec13",28.8
"70",4044104,3,1,0.25,350,"pot","sec13",3360
"71",4044108,1,2,0.200000002980232,80,"pot","sec13",959.999985694885
"72",4044108,3,2,0.200000002980232,240,"pot","sec13",2879.99995708466
"73",4044109,1,3,0.25,945,"pot","sec13",9072
"74",4044109,3,1,0.300000011920929,405,"pot","sec13",3239.99987125397
"75",4044110,3,1,0.379999995231628,210,"pot","sec13",1326.31580611675
"76",4044111,2,1,0.25,270,"pot","sec13",2592
"77",4044112,2,1,0.5,500,"pot","sec13",2400
"78",4044112,3,1,0.25,300,"pot","sec13",2880
"79",4044114,1,1,0.200000002980232,30.5,"pot","sec13",365.999994546175
"80",4044114,3,1,0.129999995231628,30,"pot","sec13",553.84617416111
"81",4044114,6,1,0.200000002980232,80,"pot","sec13",959.999985694885
"82",4044115,2,1,0.25,80,"pot","sec13",768
"83",4044115,6,1,0.5,520,"pot","sec13",2496
"84",4044201,5,3,0.25,105,"pot","sec13",1008
"85",4044202,1,1,0.25,460,"pot","sec13",4416
"86",4044202,2,1,0.5,300,"pot","sec13",1440
"87",4044203,4,1,0.25,100,"pot","sec13",960
"88",4044204,2,1,0.0599999986588955,240,"pot","sec13",9600.00021457673
"89",4044205,5,1,0.0599999986588955,200,"pot","sec13",8000.00017881394
"90",4044206,11,1,0.25,180,"pot","sec13",1728
"91",4044206,8,1,0.5,1080,"pot","sec13",5184
"92",4044208,1,4,0.0500000007450581,300,"pot","sec13",14399.9997854233
"93",4044208,8,1,0.129999995231628,480,"pot","sec13",8861.53878657777
"94",4044209,1,1,0.129999995231628,120,"pot","sec13",2215.38469664444
"95",4044210,2,1,0.129999995231628,240,"pot","sec13",4430.76939328888
"96",4044212,1,1,0.25,1340,"pot","sec13",12864
"97",4044301,2,1,0.129999995231628,240,"pot","sec13",4430.76939328888
"98",4044302,1,1,0.5,362,"pot","sec13",1737.6
"99",4044302,4,1,0.300000011920929,130,"pot","sec13",1039.99995867411
"100",4044303,3,1,0.75,300,"pot","sec13",960
"101",4044305,4,1,0.25,100,"pot","sec13",960
"102",4044306,2,1,0.5,600,"pot","sec13",2880
"103",4044307,1,1,0.5,180,"pot","sec13",864
"104",4044308,2,1,0.5,100,"pot","sec13",480
"105",4044309,1,1,0.25,40,"pot","sec13",384
"106",4044310,2,1,0.5,180,"pot","sec13",864
"107",4044311,3,1,0.25,300,"pot","sec13",2880
"108",4044311,4,1,0.5,410,"pot","sec13",1968
"109",4044311,5,2,0.5,170,"pot","sec13",816
"110",4044311,6,1,0.25,80,"pot","sec13",768
"111",4044314,1,1,0.129999995231628,20,"pot","sec13",369.230782774074
"112",4044315,2,1,0.25,2000,"pot","sec13",19200
"113",4044401,2,1,0.25,150,"pot","sec13",1440
"114",4044401,4,1,0.25,50,"pot","sec13",480
"115",4044401,5,1,0.25,320,"pot","sec13",3072
"116",4044402,6,1,1,2600,"pot","sec13",6240
"117",4044403,2,1,0.129999995231628,240,"pot","sec13",4430.76939328888
"118",4044404,6,1,0.25,170,"pot","sec13",1632
"119",4044406,2,1,0.25,1300,"pot","sec13",12480
"120",4044406,3,1,0.129999995231628,2730,"pot","sec13",50400.001848661
"121",4044407,1,2,0.300000011920929,150,"pot","sec13",1199.99995231629
"122",4044408,2,1,0.25,120,"pot","sec13",1152
"123",4044409,1,1,1,660,"pot","sec13",1584
"124",4044409,11,1,1.5,240,"pot","sec13",384
"125",4044409,13,1,1,240,"pot","sec13",576
"126",4044409,4,1,1,950,"pot","sec13",2280
"127",4044411,2,1,0.129999995231628,200,"pot","sec13",3692.30782774074
"128",4044411,6,1,0.129999995231628,50,"pot","sec13",923.076956935184
"129",4044412,2,2,1,580,"pot","sec13",1392
"130",4044412,5,1,0.5,130,"pot","sec13",624
"131",4044412,6,1,0.5,350,"pot","sec13",1680
"132",4044413,1,7,0.100000001490116,338.5,"pot","sec13",8123.99987894297
"133",4044413,3,2,0.0599999986588955,420,"pot","sec13",16800.0003755093
"134",4044413,6,1,0.300000011920929,315,"pot","sec13",2519.9998998642
"135",4044414,1,1,0.5,790,"pot","sec13",3792
"136",4044415,1,1,0.25,160,"pot","sec13",1536
"137",4044415,2,1,0.129999995231628,165,"pot","sec13",3046.15395788611
"138",4044501,4,1,0.100000001490116,560,"pot","sec13",13439.9997997284
"139",4044501,5,1,0.100000001490116,1680,"pot","sec13",40319.9993991852
"140",4044502,2,1,0.5,980,"pot","sec13",4704
"141",4044502,5,1,0.5,210,"pot","sec13",1008
"142",4044503,1,1,0.300000011920929,700,"pot","sec13",5599.999777476
"143",4044503,5,1,1,460,"pot","sec13",1104
"144",4044504,3,1,0.5,200,"pot","sec13",960
"145",4044504,4,1,0.5,150,"pot","sec13",720
"146",4044505,3,1,1,1800,"pot","sec13",4320
"147",4044505,4,1,1.5,3200,"pot","sec13",5120
"148",4044505,6,1,1,1400,"pot","sec13",3360
"149",4044506,8,1,0.25,960,"pot","sec13",9216
"150",4044507,2,1,0.129999995231628,250,"pot","sec13",4615.38478467592
"151",4044507,6,1,0.129999995231628,200,"pot","sec13",3692.30782774074
"152",4044509,10,1,0.25,2200,"pot","sec13",21120
"153",4044509,1,3,0.0299999993294477,48,"pot","sec13",3840.00008583069
"154",4044509,13,1,0.25,1980,"pot","sec13",19008
"155",4044509,5,1,0.100000001490116,192,"pot","sec13",4607.99993133545
"156",4044509,6,1,0.0700000002980232,715,"pot","sec13",24514.2856099168
"157",4044509,8,2,0.0500000007450581,110,"pot","sec13",5279.99992132187
"158",4044510,2,1,0.75,500,"pot","sec13",1600
"159",4044511,1,3,0.25,180,"pot","sec13",1728
"160",4044511,3,1,0.5,1610,"pot","sec13",7728
"161",4044512,1,1,0.25,420,"pot","sec13",4032
"162",4044512,6,1,0.150000005960464,560,"pot","sec13",8959.9996439616
"163",4044515,2,1,1.5,925,"pot","sec13",1480
"164",4044515,6,1,0.5,470,"pot","sec13",2256
"165",4044533,10,1,1,2300,"pot","sec13",5520
"166",4044566,7,1,0.5,3200,"pot","sec13",15360
"167",4044601,1,1,0.100000001490116,480,"pot","sec13",11519.9998283386
"168",4044602,1,2,0.100000001490116,600,"pot","sec13",14399.9997854233
"169",4044604,1,1,0.25,350,"pot","sec13",3360
"170",4044604,4,1,0.5,280,"pot","sec13",1344
"171",4044605,4,1,0.150000005960464,60,"pot","sec13",959.999961853029
"172",4044606,7,3,0.25,980,"pot","sec13",9408
"173",4044607,1,1,0.25,655,"pot","sec13",6288
"174",4044608,1,1,0.75,420,"pot","sec13",1344
"175",4044609,1,1,0.25,230,"pot","sec13",2208
"176",4044609,1,3,0.25,270,"pot","sec13",2592
"177",4044610,1,1,0.25,100,"pot","sec13",960
"178",4044610,2,1,0.25,120,"pot","sec13",1152
"179",4044611,1,1,0.200000002980232,205,"pot","sec13",2459.99996334314
"180",4044613,1,1,0.5,420,"pot","sec13",2016
"181",4044614,3,1,1,2040,"pot","sec13",4896
"182",4044614,7,1,0.5,840,"pot","sec13",4032
"183",4044615,1,1,0.25,150,"pot","sec13",1440
"184",4044616,2,1,0.25,10,"pot","sec13",96
"185",4044701,3,1,0.25,230,"pot","sec13",2208
"186",4044702,2,1,0.300000011920929,145,"pot","sec13",1159.99995390574
"187",4044704,2,1,0.25,140,"pot","sec13",1344
"188",4044705,8,1,0.25,280,"pot","sec13",2688
"189",4044706,1,1,0.5,210,"pot","sec13",1008
"190",4044706,2,1,0.5,240,"pot","sec13",1152
"191",4044706,3,1,0.150000005960464,70,"pot","sec13",1119.9999554952
"192",4044706,4,1,0.5,210,"pot","sec13",1008
"193",4044708,1,1,0.379999995231628,70,"pot","sec13",442.105268705585
"194",4044709,2,1,0.25,180,"pot","sec13",1728
"195",4044710,1,1,0.5,350,"pot","sec13",1680
"196",4044711,2,1,0.129999995231628,60,"pot","sec13",1107.69234832222
"197",4044712,9,1,0.5,550,"pot","sec13",2640
"198",4044714,1,1,0.129999995231628,90,"pot","sec13",1661.53852248333
"199",4044714,5,1,0.25,120,"pot","sec13",1152
"200",4044714,6,1,0.300000011920929,400,"pot","sec13",3199.99987284343
"201",4044715,2,1,0.25,160,"pot","sec13",1536
"202",4044716,3,1,0.119999997317791,1653,"pot","sec13",33060.0007389486
"203",4044716,6,1,0.25,2250,"pot","sec13",21600
"204",4044801,10,1,0.5,1650,"pot","sec13",7920
"205",4044801,4,1,0.150000005960464,1020,"pot","sec13",16319.9993515015
"206",4044801,8,1,0.150000005960464,1580,"pot","sec13",25279.9989954631
"207",4044802,5,1,0.129999995231628,160,"pot","sec13",2953.84626219259
"208",4044802,6,1,0.129999995231628,135,"pot","sec13",2492.307783725
"209",4044804,1,1,0.25,720,"pot","sec13",6912
"210",4044805,1,1,0.5,1920,"pot","sec13",9216
"211",4044805,11,1,0.5,960,"pot","sec13",4608
"212",4044805,6,1,1.5,5760,"pot","sec13",9216
"213",4044807,3,1,0.129999995231628,530,"pot","sec13",9784.61574351295
"214",4044811,3,1,0.5,1960,"pot","sec13",9408
"215",4044812,1,1,0.400000005960464,1000,"pot","sec13",5999.99991059303
"216",4044813,3,1,0.25,940,"pot","sec13",9024
"217",4044814,7,1,0.150000005960464,370,"pot","sec13",5919.99976476034
"218",4044816,10,1,0.129999995231628,180,"pot","sec13",3323.07704496666
"219",4044816,1,1,0.25,545,"pot","sec13",5232
"220",4044816,11,1,0.129999995231628,295,"pot","sec13",5446.15404591759
"221",4044816,1,2,0.0299999993294477,155,"pot","sec13",12400.0002771616
"222",4044816,3,2,0.129999995231628,60,"pot","sec13",1107.69234832222
"223",4044816,4,1,0.129999995231628,435,"pot","sec13",8030.7695253361
"224",4044817,1,1,0.25,2760,"pot","sec13",26496
"225",4044817,3,1,0.5,1560,"pot","sec13",7488
"226",4044817,7,1,0.100000001490116,660,"pot","sec13",15839.9997639656
"227",4044901,8,1,0.25,740,"pot","sec13",7104
"228",4044902,1,1,0.300000011920929,860,"pot","sec13",6879.99972661337
"229",4044902,8,1,0.25,620,"pot","sec13",5952
"230",4044903,1,1,0.25,360,"pot","sec13",3456
"231",4044903,2,1,0.129999995231628,150,"pot","sec13",2769.23087080555
"232",4044904,3,1,0.129999995231628,560,"pot","sec13",10338.4619176741
"233",4044905,3,1,0.25,540,"pot","sec13",5184
"234",4044906,1,1,0.25,1050,"pot","sec13",10080
"235",4044906,6,1,0.129999995231628,500,"pot","sec13",9230.76956935184
"236",4044906,7,1,0.25,800,"pot","sec13",7680
"237",4044910,1,1,0.25,960,"pot","sec13",9216
"238",4044910,2,1,0.129999995231628,300,"pot","sec13",5538.4617416111
"239",4044910,4,1,0.5,600,"pot","sec13",2880
"240",4044910,6,1,0.5,480,"pot","sec13",2304
"241",4044911,1,1,0.0599999986588955,120,"pot","sec13",4800.00010728836
"242",4044911,2,1,0.0599999986588955,100,"pot","sec13",4000.00008940697
"243",4044912,1,1,0.25,1000,"pot","sec13",9600
"244",4044912,4,1,0.300000011920929,700,"pot","sec13",5599.999777476
"245",4044913,1,1,0.150000005960464,450,"pot","sec13",7199.99971389772
"246",4044913,4,1,0.150000005960464,270,"pot","sec13",4319.99982833863
"247",4044914,1,1,0.5,1450,"pot","sec13",6960
"248",4044914,2,1,0.25,780,"pot","sec13",7488
"249",4044914,5,1,0.5,1000,"pot","sec13",4800
"250",4044915,6,1,0.25,120,"pot","sec13",1152
"251",4044916,3,1,0.5,1860,"pot","sec13",8928
"252",4044916,9,1,0.25,1920,"pot","sec13",18432
"253",4045001,7,1,0.5,1680,"pot","sec13",8064
"254",4045001,8,1,0.5,840,"pot","sec13",4032
"255",4045001,8,2,0.5,770,"pot","sec13",3696
"256",4045002,1,1,0.25,2240,"pot","sec13",21504
"257",4045002,7,1,0.200000002980232,420,"pot","sec13",5039.99992489815
"258",4045003,1,1,0.25,210,"pot","sec13",2016
