07 IGANGA,030 BUGWERI COUNTY,01 BUYANGA,01 BULUNGULI,01 BULUNGULI
,,,,02 KIWANYI A
,,,,03 KIWANYI B
,,,02 BUMOOZI,01 BUMOOZI
,,,,02 BUPALA
,,,,03 BUWANGA
,,,,04 NKOMBE
,,,,05 NSOZIBIRI
,,,,06 BUBONYI
,,,03 BUWOOYA,01 BUDHUBYE
,,,,02 BUWOOYA A
,,,,03 BUYANGA A
,,,,04 BUYANGA B
,,,,05 BUYANGA C
,,,,06 BUYIRIMA
,,,,07 NASILARO
,,,,08 BUWOOYA B
,,,,09 BUBBALA
,,,04 BWIGULA,01 BUBINGA
,,,,02 BUTABA
,,,,03 BWIGULA
,,,,04 NAKAWOIZA
,,,,05 BUKASOZI
,,,05 IDUDI,01 IDUDI A
,,,,02 KIKUNYU
,,,,03 MUFUMI
,,,,04 IDUDI B
,,,,05 IDUDI C
,,,,06 IDUDI D
,,,06 KALALU,01 KALALU A
,,,,02 KALALU B
,,,07 LUBIRA,01 BUTYABULE
,,,,02 LUBIRA
,,02 IBULANKU,09 BUNIANTOLE,01 BUNIANTOLE
,,,,02 KABUGWERI
,,,,03 BUTENKAIRE
,,,10 BUTENDE,01 BUKOTEKA
,,,,02 BUTENDE
,,,,03 LUSAGHA
,,,11 IBAAKO,01 BUSESA
,,,,02 IBAAKO
,,,,03 KAGAMBA
,,,,04 NAMIYANGU
,,,12 IBULANKU,01 BUSOOLERA
,,,,02 IBULANKU
,,,,03 MULANGA
,,,15 NAMIGANDA,01 BUKENKE
,,,,02 NAMIGANDA
,,,16 NAWANSEGA,01 BUMPINGU
,,,,02 BUSOOLA
,,,,03 BUWANGA
,,,,04 NAWANSEGA
,,,,05 NAKISENE
,,,,06 BUGHODANDALA
,,,17 NSAALE,01 BUWAABE
,,,,02 BUYEBE
,,,,03 NAKASUBI
,,,,04 NAKIBEMBE
,,,,05 NSAALE
,,,,06 WANTE
,,03 MAKUUTU,18 KASOZI,01 BUKOSE NONDWE
,,,,02 BUKOWE
,,,,03 BUSIMO
,,,,04 KASOZI A
,,,,05 KASOZI B
,,,,06 NAMAVUNDU
,,,,07 NONDWE
,,,,08 WAIBALE
,,,,09 BUSIMO B
,,,,10 BUNAKATE
,,,,11 BUKONDE
,,,19 KIGULAMO,01 KIGULAMO
,,,,02 NAITANDU A
,,,,03 NAITANDU B
,,,,04 BUBETO
,,,20 MAKANDWA,01 MAKANDWA CENTRAL
,,,,02 MAWOLOLO
,,,,03 NABWEYA
,,,,04 NAKAVULE
,,,,05 BUYAYU
,,,21 MAKUUTU,01 BUNALWENYI A
,,,,02 BUNALWENYI B
,,,,03 BUNALWENYI CENTRAL
,,,,04 BUSWIRIRI
,,,,05 BUWONGO
,,,,06 MAKUUTU
,,,,07 NAKADHULI
,,04 NAMALEMBA,22 IDINDA,01 BULUGODHA
,,,,02 BUSWIIGA
,,,,03 IDINDA
,,,,04 NABIRERE A
,,,,05 NABIRERE B
,,,23 MINANI,01 BUKAKAIRE
,,,,02 KITUKIRO
,,,,03 MINANI A
,,,,04 NABITENDE
,,,,05 NAKAMINI
,,,,06 MINANI B
,,,24 NAMALEMBA,01 BUNIO
,,,,02 BUTAKANIRA
,,,,03 BUTONGOLE
,,,,04 NALWEGOLOIRE
,,,,05 NAWANGISA A
,,,,06 NAWANGISA B
,,,25 NAMUNYUMYA,01 KINAMPERE (ZONE VIII) A
,,,,02 MAILO (ZONE IX)
,,,,03 KINAMPERE B
,,,,04 NAMUNYUNYA B
,,05 BUSEMBATIA TOWN COUNCIL,26 BUSEMBATIA CENTRAL WARD,01 BUSEMBATIA ZONE IV
,,,,02 BUTANDWE (ZONE VI)
,,,27 BUSEMBATIA MARKET WARD,03 BUSEMBATIA ZONE II
,,,,04 BUSEMBATIA ZONE III
,,,28 BUYIRIMA WARD,01 BUYIRIMA  A
,,,,02 BUYIRIMA  B
,,,29 KAKOGE WARD,01 KAKOGE A
,,,,02 KAKOGE B
,,,30 MAJENGO WARD,01 BUBONYE
,,,,02 MAJENGO
,,06 IGOMBE,08 BUBENGE,01 BUBENGE A
,,,,02 BUBENGE B
,,,,03 MATOVU
,,,13 IGOMBE,01 BULYANSIME
,,,,02 IGOMBE
,,,,03 MBULAMUTI
,,,,04 NAMAKUNYU
,,,,05 BUTALANGO
,,,14 KIKUNYU,01 BUBONGHE
,,,,02 BUSINDA
,,,,03 KIKUNYU
,,,,04 MPIITA
,,,,05 BUBINGA
,,,31 WALANGA,01 WALANGA
,,,,02 NAWAMPENDO
,038 KIGULU COUNTY NORTH,01 NABITENDE,01 BUGONO,01 BUGONO
,,,,02 NABINYONYI
,,,,03 BUGONO B
,,,,04 BUKAYIGO
,,,02 ITANDA,01 BUVULE
,,,,02 ITANDA - BUWEIRA
,,,,03 KINU
,,,03 KABIRA-ITUBA,01 BULIGANWA
,,,,02 ITUBA
,,,,03 KABIRA
,,,,04 ITUBA BUNIGULE
,,,,05 KABIRA B
,,,,06 BULIGANWA B
,,,04 KASAMBIKA,01 BUWEREMPE
,,,,02 KASAMBIKA I
,,,,03 KASAMBIKA II
,,,,04 NAMUSIISI I
,,,,05 NAMUSIISI II
,,,05 NABITENDE,01 BUBEKO
,,,,02 KALUNGAMI 'A'
,,,,03 KALUNGAMI 'B'
,,,,04 NABITENDE
,,,,05 BUTABALA
,,,06 NALUKO,01 NALUKO
,,,,02 NAWANKWALE
,,,,03 NALUKO BUZIBIRILA
,,,,04 NAWANKWALE BUGWERE
,,02 NAMBALE,07 MWIRA,01 KAMIRABIKOMO
,,,,02 MWIRA
,,,,03 NABITOVU
,,,,04 NABITOVU NORTH
,,,08 KIDAAGO_NABITENDE,01 KIDAGO A
,,,,02 KIDAGO B
,,,,03 NABITENDE A
,,,,04 NABITENDE B
,,,,05 BUSABI ZONE
,,,,06 BUKOSE ZONE
,,,,07 BUYALE ZONE
,,,09 NAIBIRI,01 KAZIGO A
,,,,02 KAZIGO B
,,,,03 NAIBIRI CENTRAL
,,,,04 NAIBIRI NORTH
,,,,05 NAIBIRI SOUTH
,,,10 NAMBALE,01 NAMBALE I  A
,,,,02 NAMBALE I  B
,,,,03 NAMBALE II
,,,11 NASUTI,01 BUSIMBA
,,,,02 NABUKONE
,,,,03 NASUUTI NORTH
,,,,04 NASUUTI SOUTH
,,,,05 KAKIRA
,,03 NAMUNGALWE,12 BULUMWAKI,01 BULUMWAKI I
,,,,02 BULUMWAKI II
,,,,03 NSINZE
,,,13 MWENDANFUKO,01 BULANGA
,,,,02 MWENDANFUKO I
,,,14 NAMUNGALWE,01 KAWETE
,,,,02 NAMUNGALWE RURAL
