49 MAYUGE,034 BUNYA COUNTY EAST,01 BUWAAYA,01 BUWAISWA,01 BUBAGO
,,,,02 BUWAAYA
,,,,03 BUWAISWA
,,,,04 NTAFUNGIRWA
,,,,05 NABUYAGI
,,,02 ISIKIRO,01 IBANGA
,,,,02 ISIKIRO
,,,,03 KANYABWINA
,,,,04 KIKUBO
,,,,05 BUKOOBA
,,,04 BUWOLYA,01 BUWOLYA
,,,,02 IVUGUNYU
,,,,03 IWUUBA
,,,,04 KAKINDU
,,,,05 NTINDA
,,,12 KABAINGIRIRE,01 KABANGIRE
,,,,02 NAKATE
,,,,03 NAMADHI
,,,,04 NAMATALE
,,,,05 NAWANVUBU
,,,13 NSANGO,01 BULONDO
,,,,02 LUGANGU
,,,,03 NABITTU
,,,,04 NAMAGO
,,,,05 NSANGO
,,02 KIGANDALO,07 ISENDA,01 BUGUNDA
,,,,02 ISENDA
,,,,03 ISENDA A
,,,,04 KATALAKABI
,,,,05 NAMAIGA
,,,,06 NAMATOVU
,,,,07 NANVUNANO
,,,,08 NVUNWA
,,,,09 WALULENGA
,,,08 KIGANDALO,01 NAKAZIGO
,,,,02 KIGANDALO A
,,,,03 NAIGERIA
,,,,04 NAKIDUBULI
,,,,05 NAMPU
,,,,06 NDALAEGOBYE
,,,,07 WANDAWA
,,,,08 KIGANDALO B
,,,,09 NAKASERO
,,,09 KIOGA (MAYENGO),01 BUSUI
,,,,02 BUYEGO
,,,,03 BWEZA
,,,,04 KAZINGA
,,,,05 KIOGA
,,,,06 LUKUNYU
,,,,07 NAKAVULE
,,,,08 NABIKOMO
,,,,09 SESE
,,,18 KIGULU,01 BUBBALYA
,,,,02 BUYAGA
,,,,03 KIGULU
,,,,04 KIREWE
,,,,05 NAMASAKA
,,,,06 NAMUGOLO
,,,,07 NSUMBA
,,,19 BUGONDO,01 BUGONDO
,,,,02 NABUKONI
,,,,03 NAKAWA
,,,,04 NAMALEGE
,,,,05 WALUKOKO
,,,20 MALEKA,01 ISOOLA
,,,,02 KIGULAMU
,,,,03 MABIRIZI
,,,,04 MALEKA A
,,,,05 NAKITWALO
,,,,06 WANKONGE
,,,,07 MALEKA B
,,03 BUKABOOLI,06 BUGOTO,01 BUGOTO A
,,,,02 BUGOTO B
,,,,03 BUTUMBULA
,,,,04 MUNYAZI
,,,,05 NAMULULI
,,,,06 NAWAMPONGO
,,,,07 KITUMBEZI
,,,,08 MUSUBI
,,,,09 KAKOGE
,,,,10 LULANDA
,,,10 MAYIRINYA,01 BUSIRA
,,,,02 KASOZI
,,,,03 LWANDERA
,,,,04 MAIRINYA A
,,,,05 MAIRINYA 'B'
,,,,06 NAWANDEGEYI
,,,,07 LUWUTA
,,,,08 KASOZI B
,,,11 MATOVU,01 BUKANGA
,,,,02 MATOVU
,,,,03 NABIWERO
,,,,04 NAKIBAGO
,,,17 BUGUMIA,01 BUDUMBA
,,,,02 KALIRO
,,,,03 KANYANA
,,,,04 KIRONGO A
,,,,05 KIRONGO B
,,,,06 MAKOOMA
,,,,07 NAKASUWA
,,,21 BUKABOOLI,01 BUKABOOLI
,,,,02 KALAGALA A
,,,,03 KIKUNYU
,,,,04 NAMULWANA 'A'
,,,,05 NAMULWANA 'B'
,,,,06 KALAGALA B
,,,22 BUYUGU,01 BUYUGU
,,,,02 KINAWAMBUZI
,,,,03 NABYAMA
,,,,04 NAMAKOKO
,,,,05 BUSITEMA
,,,,06 IGAYAZA
,,,,07 MBALE
,,,,08 NABYAMA BEACH
,,04 MPUNGWE,03 MUGGI,01 BUWANUKA
,,,,02 KASOKWE
,,,,03 MPUNGWE
,,,,04 MUGGI
,,,05 WAIRAMA,01 BULYANGADA
,,,,02 KASUTAIME
,,,,03 MAWUMU
,,,,04 MUNYONYI
,,,,05 MPUMU
,,,,06 NAWANKOLE
,,,,07 WAIRAMA
,,,,08 BUWALIRA
,,,14 WAMULONGO,01 BUSWIKIRA
,,,,02 MAKOOVA
,,,,03 NAMATOOKE
,,,,04 WAMULONGO
,,,,05 WANDAWA
,,,15 MAINA,01 BUSU
,,,,02 KYETE
,,,,03 MAINA
,,,,04 MWEZI
,,,,05 KABERE
,,,16 BUYERE,01 BUGUWA
,,,,02 BUYERE
,,,,03 MUSIMA
,,,,04 MUSITA
,,,,05 NAKITAMU
,035 BUNYA COUNTY SOUTH,01 KITYERERA,02 KITYERERA,01 BUGADDE A
,,,,02 BUGADDE B
,,,,03 BUGOYA
,,,,04 BUSENDA A
,,,,05 ITUBA
,,,,06 KIKOKOLI
,,,,07 KITYERERA A
,,,,08 KITYERERA B
,,,,09 NAKIBENGO
,,,,10 BUGADDE EAST
,,,,11 BUGADDE WEST
,,,,12 BUSENDA B
,,,,13 BUGADDE NORTH
,,,04 NDAIGA,01 BUBALULE A
,,,,02 BUBALULE B
,,,,03 NAKIRIMIRA A
,,,,04 NAKIRIMIRA B
,,,,05 NDAIGA A
,,,,06 NDAIGA B
,,,,07 NDAIGA C
,,,,08 NAKIRIMIRA C
,,,05 WANDEGEYA,01 KATUBA
,,,,02 NENDA A
,,,,03 WAKIWUNGU
,,,,04 WANDEGEYA  A
,,,,05 WANDEGEYA  B
,,,,06 NENDA B
,,,13 BUKALENZI,01 BUKALENZI
,,,,02 BUKOBA A
,,,,03 BUKOBA 'B'
,,,,04 BUKUKU
,,,,05 LUTALE 'A'
,,,,06 MASHANGA A
,,,,07 MASHANGA B
,,,,08 NAMALERE
,,,,09 NGAYAMA
,,,,10 LUTALE D
,,,,11 BUKOBA CENTRAL
,,,15 KITOVU,01 KABAGANJA
,,,,02 KIKOMA
,,,,03 KITOVU
,,,,04 LUTALE 'B'
,,,,05 MITIMITO
,,,,06 NTAMBI
,,,,07 LUTALE C
,,,17 BUBINGE,01 BUBINGE
,,,,02 BULIDHA
,,,,03 BUSIMO
,,,,04 IGUNDA
,,,,05 KIKANDWA
,,02 MALONGO,06 MALONGO,01 KABUKA
,,,,02 KAYANJA BEACH
,,,,03 KAYANJA VILLAGE
,,,,04 MALONGO A T/C
,,,,05 MALONGO EAST
,,,,06 MALONGO B T/C
,,,,07 MALONGO C
,,,,08 MALONGO D
,,,,10 MASAKA
,,,,11 NANGO VILLAGE
,,,,12 NANGO BEACH
,,,,13 MALONGO INN
,,,,14 MALONGO B
,,,,15 MALONGO NORTH
,,,,16 MALONGO WEST
,,,,17 MALONGO UPPER
,,,,18 KABUKA BEACH
,,,,19 MALONGO CENTRAL
,,,07 NAMADHI,01 NAMADHI A
,,,,02 NAMADHI B
,,,,03 NAMADHI C
,,,,04 NAMADHI T/C
,,,,05 NAMAVUNDHU KYONDO
,,,,06 NAMAVUNDHU T/C
,,,,07 NAMADHI D
,,,,08 NAMADHI BEACH
,,,,09 NAMADHI SOUTH
,,,08 BWONDHA,01 NALUBABWE
,,,,03 BWONDHA D
,,,,04 BWONDHA A
,,,,05 BWONDHA B
,,,,06 BWONDHA C
,,,19 BUKATABIRA,03 BUKATABIRA A
,,,,11 NKOLONGO
,,,,14 NKOLONGO B
,,,,15 NKOLONGO A
,,,,16 BUKATABIRA B
,,,,17 NKOLONGO C
