95 NAMAYINGO,033 BUKOOLI SOUTH COUNTY,01 BANDA,03 BUWOYA,01 BUDIANGA
,,,,02 BUKEDA
,,,,03 BUSUDIA
,,,,04 BUSEKESE
,,,,05 BUNYALAWO
,,,,06 BUYOMBO
,,,,07 NANJALA
,,,,08 SIAMBA
,,,,09 BUTEMO
,,,,10 SIABONA
,,,,11 SIAHOOLI
,,,,13 BUHULA
,,,,14 MUHUBU
,,,17 LUGALA,01 BUDALA
,,,,03 BUYUNDO
,,,,07 LUGALA BEACH
,,,,10 MATALE
,,,,11 SIDENDE
,,,,12 BUHIMA
,,,,13 MAYANJA
,,,,14 SISIRO
,,,19 LUTOLO,01 BAALE
,,,,02 BUCHUNIA
,,,,04 LUTOLO
,,,,06 MAGOOLI
,,,,07 NANGERA
,,,,09 BWOGOMI
,,,,10 SIROWA
,,,,11 LUNAYE
,,,,12 GAMBABWAMI
,,,,13 NAMABONI
,,,22 BUJWANGA,01 BUDUNGA EAST
,,,,02 BUDUNGA WEST
,,,,03 BUJWANGA WEST
,,,,06 BUSIRO
,,,,07 BUSIRO BEACH
,,,,08 NAKUDI
,,,,10 BUBANGI
,,,,12 HALABA
,,,,13 MABENDE
,,,,15 NABWEYO
,,,,16 BUJWANGA EAST
,,,,18 SEKA
,,,,20 NAMBANO
,,,23 BUCHUMBA,01 BUCHUMBA
,,,,04 MUNYOLONDA
,,,,05 BUSUMA
,,,,06 OKONGA
,,,,07 BULUNDIRA
,,,,08 BUNINI
,,,,09 BUSINOHO
,,,,10 NAMAKE
,,02 BUSWALE,02 BUSWALE,01 BUHUNYA A
,,,,03 NASISA A
,,,,04 SIDOME
,,,,05 SIMIGINI
,,,,06 NASISA B
,,,,07 BULIYO A
,,,,08 BULIYO B
,,,,10 BUYIHERI
,,,,11 BUGALAMA
,,,,12 BUHUNYA B
,,,05 NANSUMA,01 BUHWANJA
,,,,02 MAKALO
,,,,03 MASODI A
,,,,04 NANSUMA A
,,,,05 SIJAGAJO A
,,,,08 NANSUMA B
,,,,09 BUMOLI A
,,,,10 BUMOLI B
,,,,11 MASODI B
,,,,12 SIJAGAJO B
,,,14 MADOWA,01 BUSANKA A
,,,,02 LUVUNYA A
,,,,03 MADOWA 'A'
,,,,04 MADOWA 'B'
,,,,05 UMBWE
,,,,06 BUSANKA B
,,,,07 LUVUNYA B
,,,,08 NALUBABWE
,,,15 NAMAYUGE,01 HABALA
,,,,02 HASEBERE
,,,,03 LUGUNJA
,,,,04 NAMAJI A
,,,,05 NAMAYUGE
,,,,06 TETE
,,,,07 NAMAJI B
,,,,08 BUHIMA
,,,26 BUBANGO,01 BUBANGO
,,,,02 NALWIGI
,,,,03 NAMAHUHUNI
,,,,04 NANJOFU 'A'
,,,,05 NANJOFU 'B'
,,,27 BUNGECHA,01 BUDANGI
,,,,02 BUDIBA
,,,,03 BUGENCHA
,,,,04 BUHATANDU
,,,,05 BUKECHI A
,,,,06 BUKECHI B
,,03 BUYINJA,04 GONDOHERA,01 BUDIMO
,,,,03 BUTAJJA
,,,,04 GONDOHERA
,,,,07 NAMUHOLOHOHO
,,,11 KIFUYO,01 KIFUYO 'A'
,,,,02 KIFUYO 'B'
,,,,03 MUSOOKA
,,,,04 NSANGO 'A'
,,,,05 NSANGO 'B'
,,,,06 LUGULE
,,,13 LWANGOSIA,01 BULOHA EAST
,,,,02 BULOHA WEST
,,,,03 LWANGOSIA EAST
,,,,04 LWANGOSIA WEST
,,,,05 NAMUTAMBA EAST
,,,,06 NAMUTAMBA WEST
,,,,07 BUBWOYI
,,,,08 BUGAYA
,,,,09 SIBONDWE
,,,31 SYANYONJA,01 BUBOKO
,,,,02 HOHOMA
,,,,03 SYANJONJA 'C'
,,,,04 SYANYONJA 'A'
,,,,05 SYANYONJA 'B'
,,,,06 MAGETA
,,,32 NSONO,01 BUGOMA 'A'
,,,,02 BUGOMA 'B'
,,,,03 NAMAVUNDU NORTH
,,,,04 NAMAVUNDU SOUTH
,,,,05 NSONO EAST
,,,,06 NSONO WEST
,,,,07 BUZIGE
,,,,08 NAKASOLO
,,,,09 NABYANGA
