75 NAMUTUMBA,037 BUSIKI COUNTY,01 BULANGE,01 BUGOBI,01 BUGOBI A
,,,,02 KIBIGO
,,,,03 MAKOMA
,,,,04 NAKAZINGA A
,,,,05 BUGOBI B
,,,,06 NAKAZINGA B
,,,02 BULANGE,01 BULANGE
,,,,02 BUSEGERA
,,,,03 NALUKERO
,,,,04 NAWANKOFU
,,,,05 BWAYUYA
,,,03 BUKENGA,01 BUBUSA
,,,,02 BUKENGA
,,,,03 BUSINDA A
,,,,04 NAWANDAGALA
,,,,05 NAWANDYO
,,,,06 NSONGWE
,,,,07 BUFUYA
,,,,08 BUSINDA B
,,,,09 IGHALANGIRE
,,,,10 KISENYI
,,,04 BUWAGA,01 BUBUTYA
,,,,02 BUTOGOLI
,,,,03 BUWAGA CENTRAL
,,,,04 MAGOOLA
,,,,05 BUTYABULE
,,,,06 IGULAMUBIRI
,,,,07 NAWAMBOGO
,,,05 KIREREMA,01 BUNAIBAMBA A
,,,,02 KIREREMA I
,,,,03 KIREREMA II
,,,,04 BUNAIBAMBA B
,,,,05 KIREREMA III/KAYOBYO
,,,34 MPUMIRO,01 BUDUNDA
,,,,02 BUGAALI
,,,,03 BUNAIBANI
,,,,04 BUYOBOYA
,,,,05 MPUMIRO
,,,,06 BUBWOLI
,,,,07 KIBAALE
,,,35 KISIIRO,01 BUWANGA
,,,,02 KISIIRO EAST
,,,,03 LUGULU
,,,,04 MAKENYA
,,,,05 KISIIRO WEST
,,,,06 KIWOLOMERO
,,02 IVUKULA,06 BUWALIRA,01 BUDOMERO
,,,,02 BUGUMULA
,,,,03 BUGWE
,,,,04 BUWONGERA
,,,,05 BUNANGWE
,,,,06 BUWALIRA
,,,,07 IZINGA
,,,,08 KAVULE
,,,,09 KISEGA
,,,,10 NAMUSITA A
,,,,11 BUDIDO
,,,,12 BUNANGWE ESTATE
,,,,13 BUTAMOGA
,,,,14 KAKOKOLA
,,,,15 KIRWANIRE
,,,,16 NAMUSITA B
,,,,17 BUGAYI
,,,07 IVUKULA,01 BULEMBO
,,,,02 BWIITE
,,,,03 IDUDI
,,,,04 IVUKULA
,,,,05 KAMUDOOKE
,,,,06 KIRANGA
,,,,07 NAWANKIMA
,,,,08 BUGABULA
,,,,09 IVUKULA TOWN
,,,,10 BULEMBO EAST
,,,,11 GASANI
,,,08 IWUNGIRO,01 IWUNGIRO
,,,,02 KIGUNDA
,,,,03 KIKALU
,,,,04 KITAIGALWA
,,,,05 NAMAKOKO
,,,,06 NANGONDE
,,,,07 ZAAGIRA
,,,,08 BUTIMBO
,,,,09 MAKWI
