"","district","sc","parish","village","messenger","recipient","IVR","sms","head_name","tel_contact"
"1","NAMUTUMBA","KIBAALE","NAWANGISA","KIRANGA A","male","male","no","no",NA,NA
"2","BUGIRI","KAPYANGA","NDIFAKULYA","MUGONA SOUTH","male","male","yes","yes",NA,NA
"3","BUGIRI","BUWUNGA","BUBUGO","KIRONGO","male","male","yes","no",NA,NA
"4","NAMUTUMBA","IVUKULA","MPANDE (KISEWUZI)","NAKAZINGA","male","male","yes","no",NA,NA
"5","NAMAYINGO","MUTUMBA","LUBIRA","SIMASE","male","male","yes","yes",NA,NA
"6","NAMUTUMBA","IVUKULA","MPANDE (KISEWUZI)","KISEWUZI","male","male","no","no",NA,NA
"7","IGANGA","MAKUUTU","MAKUUTU","BUNALWENYI B","male","male","yes","yes",NA,NA
"8","NAMAYINGO","BUSWALE","NANSUMA","BUHWANJA","male","male","no","no",NA,NA
"9","BUGIRI","BUDHAYA","BUDHAYA","KIWANDANGABO","male","male","yes","no",NA,NA
"10","NAMUTUMBA","KIBAALE","NABISOIGI","NAWAIKOKE B","male","male","no","no",NA,NA
"11","BUGIRI","BUDHAYA","BUKATU","BUBANGO","male","male","yes","no",NA,NA
"12","NAMUTUMBA","NSINZE","BUWONGO","CENTRAL BUNYAGWE","male","male","yes","no",NA,NA
"13","NAMUTUMBA","IVUKULA","MPANDE (KISEWUZI)","NAMWENDA II","male","male","yes","no",NA,NA
"14","NAMUTUMBA","NSINZE","BUWONGO","MALIGA","male","male","yes","yes",NA,NA
"15","NAMUTUMBA","NSINZE","NAWAIKONA","BUTAGALA","male","male","no","no",NA,NA
"16","NAMUTUMBA","NAMUTUMBA","ITUBA","NAWAMPANDU A","male","male","yes","no",NA,NA
"17","IGANGA","BULAMAGI","IWAWU","NTINDA","male","male","yes","no",NA,NA
"18","MAYUGE","KITYERERA","NDAIGA","NAKIRIMIRA C","male","male","no","no",NA,NA
"19","NAMUTUMBA","MAGADA","KAGULU","NAMUSAYI","male","male","yes","yes",NA,NA
"20","MAYUGE","BUKATUBE","BUYEMBA","MUGERI B","male","male","no","no",NA,NA
"21","NAMAYINGO","MUTUMBA","LUBIRA","BUGALI B","male","male","yes","yes",NA,NA
"22","NAMAYINGO","BANDA","LUGALA","LUGALA A","male","male","yes","yes",NA,NA
"23","BUGIRI","KAPYANGA","NDIFAKULYA","NDIFAKULYA","male","male","yes","no",NA,NA
"24","IGANGA","IBULANKU","NSAALE","WANTE","male","male","no","no",NA,NA
