"","HHID","messenger","recipient","IVR","sms","vilID","subID","distID"
"1","HH1363","female","couple","yes","yes",23,3,1
"2","HH2134","couple","couple","yes","no",23,3,1
"3","HH78","male","male","no","no",23,3,1
"4","HH335","male","female","yes","no",23,3,1
"5","HH1877","couple","female","yes","no",23,3,1
"6","HH1106","female","female","no","no",23,3,1
"7","HH1620","couple","male","no","no",23,3,1
"8","HH592","male","couple","yes","no",23,3,1
"9","HH849","female","male","no","no",23,3,1
"10","HH2391","ctrl","male","no","no",23,3,1
"11","HH1678","couple","male","no","no",61,3,1
"12","HH136","male","male","yes","no",61,3,1
"13","HH1935","couple","female","yes","no",61,3,1
"14","HH650","male","couple","yes","yes",61,3,1
"15","HH2449","ctrl","couple","no","no",61,3,1
"16","HH393","male","female","yes","yes",61,3,1
"17","HH907","female","male","no","no",61,3,1
"18","HH1421","female","couple","yes","yes",61,3,1
"19","HH1164","female","female","yes","no",61,3,1
"20","HH2192","couple","couple","yes","yes",61,3,1
"21","HH1768","couple","male","no","no",92,3,1
"22","HH740","male","couple","yes","yes",92,3,1
"23","HH1254","female","female","no","no",92,3,1
"24","HH2539","ctrl","couple","no","no",92,3,1
"25","HH1511","female","couple","yes","no",92,3,1
"26","HH483","male","female","yes","no",92,3,1
"27","HH226","male","male","yes","no",92,3,1
"28","HH2025","couple","female","yes","yes",92,3,1
"29","HH997","female","male","yes","no",92,3,1
"30","HH2282","couple","couple","no","no",92,3,1
"31","HH1037","female","female","no","no",203,3,1
"32","HH1551","couple","male","yes","no",203,3,1
"33","HH9","male","male","yes","no",203,3,1
"34","HH1808","couple","female","yes","no",203,3,1
"35","HH780","female","male","yes","no",203,3,1
"36","HH2322","ctrl","couple","no","no",203,3,1
"37","HH1294","female","couple","no","no",203,3,1
"38","HH266","male","female","yes","yes",203,3,1
"39","HH2065","couple","couple","no","no",203,3,1
"40","HH523","male","couple","yes","yes",203,3,1
"41","HH3371","male","female","no","no",274,3,1
"42","HH3506","couple","couple","yes","no",274,3,1
"43","HH3452","couple","male","yes","yes",274,3,1
"44","HH3398","female","male","yes","no",274,3,1
"45","HH3479","couple","female","yes","no",274,3,1
"46","HH3425","female","female","yes","no",274,3,1
"47","HH3344","male","male","no","no",274,3,1
"48","HH2233","couple","couple","yes","no",353,3,1
"49","HH691","male","couple","yes","yes",353,3,1
"50","HH1205","female","female","yes","no",353,3,1
"51","HH1976","couple","female","no","no",353,3,1
"52","HH948","female","male","yes","no",353,3,1
"53","HH1462","female","couple","yes","yes",353,3,1
"54","HH177","male","male","yes","yes",353,3,1
"55","HH434","male","female","yes","no",353,3,1
"56","HH2490","ctrl","couple","no","no",353,3,1
"57","HH1719","couple","male","no","no",353,3,1
"58","HH1810","couple","female","yes","yes",6,3,1
"59","HH525","male","couple","yes","yes",6,3,1
"60","HH11","male","male","yes","no",6,3,1
"61","HH1553","couple","male","yes","no",6,3,1
"62","HH268","male","female","yes","yes",6,3,1
"63","HH782","female","male","yes","no",6,3,1
"64","HH1039","female","female","yes","no",6,3,1
"65","HH2067","couple","couple","no","no",6,3,1
"66","HH1296","female","couple","yes","yes",6,3,1
"67","HH2324","ctrl","male","no","no",6,3,1
"68","HH1210","female","female","yes","yes",25,3,1
"69","HH439","male","female","yes","yes",25,3,1
"70","HH2238","couple","couple","yes","no",25,3,1
"71","HH1467","female","couple","yes","no",25,3,1
"72","HH182","male","male","no","no",25,3,1
"73","HH696","male","couple","no","no",25,3,1
"74","HH1724","couple","male","yes","no",25,3,1
"75","HH953","female","male","yes","no",25,3,1
"76","HH2495","ctrl","female","no","no",25,3,1
"77","HH1981","couple","female","yes","no",25,3,1
"78","HH3435","female","female","yes","yes",53,3,1
"79","HH3408","female","male","no","no",53,3,1
"80","HH3516","couple","couple","yes","no",53,3,1
"81","HH3462","couple","male","no","no",53,3,1
"82","HH3489","couple","female","yes","no",53,3,1
"83","HH3354","male","male","yes","no",53,3,1
"84","HH3381","male","female","yes","yes",53,3,1
"85","HH3476","couple","female","yes","no",88,3,1
"86","HH3449","couple","male","yes","no",88,3,1
"87","HH3368","male","female","no","no",88,3,1
"88","HH3395","female","male","no","no",88,3,1
"89","HH3422","female","female","yes","no",88,3,1
"90","HH3341","male","male","yes","no",88,3,1
